opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
ADRB8OMB,"Darcel Schlecht","GTX Basic",Warephase,Won,2016-11-08,2017-03-26,561
SBCR987L,"Kami Bicknell","GTX Basic",Zoomit,Won,2016-11-10,2017-03-23,590
UP409DSB,"Maureen Marcano","MG Advanced",Ganjaflex,Engaging,2016-11-10,2017-05-22,472
JSD4APT2,"Versie Hillebrand","MG Special",Bioholding,Won,2016-11-10,2017-03-12,61
AO9Z2D17,"Violet Mclelland","GTX Plus Pro",Xx-zobam,Lost,2016-11-10,2017-03-11,0
5M58DTJK,"Elease Gluck","MG Special",Cheers,Won,2016-11-11,2017-03-05,58
KNY1OSAB,"Maureen Marcano",GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899
EAZDUUM9,"Rosie Papadopoulos","MG Advanced",Zotware,Lost,2016-11-11,2017-03-01,0
2STUSOFE,"Versie Hillebrand","MG Special",dambase,Won,2016-11-11,2017-03-03,67
JYKM0B00,"James Ascencio",GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338
KU28360J,"Kary Hendrixson","GTX Basic",Fasehatice,Won,2016-11-12,2017-03-19,578
N4SD17JR,"Reed Clapper","GTX Basic","Acme Corporation",Won,2016-11-12,2017-03-01,556
E67P9Y3Q,"Rosalina Dieter","GTX Basic",Green-Plus,Won,2016-11-12,2017-03-03,635
AT3MMVIS,"Wilburn Farren","MG Advanced","The New York Inquirer",Won,2016-11-12,2017-03-07,3045
REJ11LRY,"Garret Kinder","GTX Plus Basic",Mathtouch,Won,2016-11-13,2017-03-14,1233
ERV0CAZ7,"Versie Hillebrand","MG Special",Zumgoity,Won,2016-11-13,2017-03-09,60
8SOQADK7,"Anna Snelling","MG Special",Gogozoom,Lost,2016-11-14,2017-03-30,0
TCHFT25B,"Darcel Schlecht","GTX Basic",Stanredtax,Lost,2016-11-14,2017-03-08,0
CZVN09WN,"Darcel Schlecht","GTX Plus Basic",Konmatfix,Won,2016-11-14,2017-03-20,1170
EG7OFLFR,"Kami Bicknell","GTX Basic",Hottechi,Engaging,2016-11-14,2017-05-22,472
30UQWUKB,"Marty Freudenburg","GTX Plus Basic","Genco Pura Olive Oil Company",Won,2016-11-15,2017-03-20,1162
OLVI7L8M,"Cassey Cress",GTXPro,Hottechi,Engaging,2016-11-16,2017-05-22,472
97UN20YY,"Darcel Schlecht","MG Advanced",Conecom,Won,2016-11-16,2017-03-14,3725
JXLERZ9O,"Kary Hendrixson","GTX Basic",Golddex,Won,2016-11-16,2017-03-31,559
6ROE69W5,"Rosalina Dieter","GTX Basic",Plexzap,Lost,2016-11-16,2017-03-11,0
0DFXFKT7,"Darcel Schlecht","GTX Plus Basic",Rundofase,Lost,2016-11-17,2017-03-21,0
XKMZVSN4,"James Ascencio","GTX Plus Pro",Sonron,Won,2016-11-17,2017-03-05,4667
IU8V0BZK,"Marty Freudenburg","GTX Plus Basic",Finhigh,Won,2016-11-17,2017-03-17,903
XY42936P,"Maureen Marcano","GTX Plus Basic",Finjob,Won,2016-11-17,2017-03-13,1180
XRN54MBM,"Niesha Huffines","GTX Basic",Ron-tech,Won,2016-11-17,2017-03-05,487
2V848WZD,"Lajuana Vencill","MG Advanced",Stanredtax,Won,2016-11-18,2017-03-04,3180
ONYNTUCG,"Darcel Schlecht",GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0
HIOHX80Y,"Darcel Schlecht","MG Advanced",Gogozoom,Won,2016-11-19,2017-03-18,3563
F5U1ACDD,"Kami Bicknell","GTX Plus Basic",Hottechi,Engaging,2016-11-19,2017-05-22,472
LPKT07PV,"Boris Faz",GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704
WPB2SLIG,"Donn Cantrell","GTX Plus Pro",Silis,Won,2016-11-20,2017-03-14,5585
XUSUEAV7,"Elease Gluck","GTK 500",Zoomit,Won,2016-11-20,2017-03-09,25897
ZZY4516R,"Hayden Neloms","MG Advanced",Hottechi,Engaging,2016-11-20,2017-05-22,472
3TYPII47,"Kami Bicknell","GTX Plus Basic",Goodsilron,Won,2016-11-20,2017-03-03,1207
7WAX8Z8O,"Lajuana Vencill","MG Advanced",Cancity,Lost,2016-11-20,2017-03-08,0
MYDUMR3R,"Lajuana Vencill","GTX Basic",Rangreen,Won,2016-11-20,2017-03-04,559
0DRC1U9Q,"Maureen Marcano","GTX Basic",Green-Plus,Engaging,2016-11-20,2017-05-22,472
37JFKD4I,"Niesha Huffines","GTX Plus Basic",dambase,Won,2016-11-20,2017-03-09,1033
25YKPHX8,"Donn Cantrell","GTX Basic",Kan-code,Won,2016-11-21,2017-03-21,462
BXXMA7F3,"Hayden Neloms","MG Advanced",Nam-zim,Lost,2016-11-21,2017-03-01,0
GIUUTBXM,"Kary Hendrixson",GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539
MFX2LR1Q,"Lajuana Vencill","MG Advanced",Ron-tech,Won,2016-11-21,2017-03-15,3573
DUHE9FLY,"Marty Freudenburg",GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926
96BSG7R1,"Zane Levy","GTX Plus Basic",Sunnamplex,Lost,2016-11-21,2017-03-17,0
7FQMSWIX,"Corliss Cosme","MG Special",Bioplex,Won,2016-11-22,2017-03-04,62
C20AVXN7,"Darcel Schlecht",GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359
GS1QVWCR,"Kami Bicknell","GTX Basic",Plusstrip,Won,2016-11-22,2017-03-31,566
ZWH8FXY3,"Marty Freudenburg","GTX Basic",Toughzap,Won,2016-11-22,2017-03-03,508
2U94Y3Q9,"Rosie Papadopoulos","MG Advanced","Vehement Capital Partners",Lost,2016-11-22,2017-03-20,0
AAR79NOO,"Versie Hillebrand","MG Special",Codehow,Won,2016-11-22,2017-03-11,51
B6B0PNR2,"Vicki Laflamme",GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899
M7I5O9YU,"Corliss Cosme","GTX Basic",Cheers,Engaging,2016-11-23,2017-05-22,472
LXZA2OSZ,"Corliss Cosme","GTX Plus Pro",Ontomedia,Won,2016-11-23,2017-03-03,5790
N0ONCYVZ,"Donn Cantrell","MG Special",Kinnamplus,Lost,2016-11-23,2017-03-30,0
GYB4W2AU,"Elease Gluck","MG Advanced",Hottechi,Engaging,2016-11-23,2017-05-22,472
513DPFX5,"Gladys Colclough",GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438
RU023K5W,"Gladys Colclough","MG Advanced",Finhigh,Won,2016-11-23,2017-03-17,2972
VDIU10RV,"Markita Hansen","MG Special",Lexiqvolax,Engaging,2016-11-23,2017-05-22,472
BZCBQ514,"Markita Hansen","GTX Basic",Y-corporation,Won,2016-11-23,2017-03-01,523
HEE6P0QH,"Anna Snelling","MG Advanced",Statholdings,Won,2016-11-24,2017-03-25,3647
L8CHRJ2B,"Cassey Cress","MG Advanced","Umbrella Corporation",Won,2016-11-24,2017-03-01,4200
579LZ3F9,"Daniell Hammack","GTX Plus Basic",J-Texon,Engaging,2016-11-24,2017-05-22,472
SU8JNMP4,"Kami Bicknell","GTX Plus Basic","Bubba Gump",Engaging,2016-11-24,2017-05-22,472
V2X2KMUR,"Kami Bicknell","GTX Plus Basic",Faxquote,Won,2016-11-24,2017-03-28,1059
AJIPJP75,"Marty Freudenburg","GTX Plus Basic",Codehow,Lost,2016-11-24,2017-03-05,0
NYVA2G6U,"Versie Hillebrand","MG Special",Dontechi,Won,2016-11-24,2017-03-02,57
FF45BXTL,"Vicki Laflamme","MG Advanced",Konex,Won,2016-11-24,2017-03-27,3671
TTA9LYBS,"Anna Snelling","MG Special",Treequote,Won,2016-11-25,2017-03-01,58
PAGZQH8L,"Cecily Lampkin","MG Advanced",Treequote,Won,2016-11-25,2017-03-06,3956
J7YF6DS7,"Corliss Cosme","GTX Plus Pro",Betasoloin,Won,2016-11-25,2017-03-01,5964
S5IXY4Z9,"Corliss Cosme",GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570
JQBJMETQ,"Darcel Schlecht","MG Special",Domzoom,Won,2016-11-25,2017-03-27,49
0LVWSWEW,"Violet Mclelland","MG Special",Donquadtech,Won,2016-11-25,2017-03-06,65
K53BC1T9,"Anna Snelling","MG Special",Domzoom,Lost,2016-11-26,2017-03-27,0
D40N5I9Y,"Darcel Schlecht",GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739
051QTX8Z,"Niesha Huffines","GTX Plus Basic","Globex Corporation",Won,2016-11-26,2017-03-21,1080
5D2XH04S,"Reed Clapper","MG Special",Plussunin,Won,2016-11-26,2017-03-12,57
V9E582SK,"Garret Kinder","GTX Basic",Konex,Won,2016-11-27,2017-03-16,469
UK0LEZRJ,"Kary Hendrixson","GTX Basic",Condax,Won,2016-11-27,2017-03-03,532
PFFHM7HR,"Markita Hansen","MG Advanced",Opentech,Engaging,2016-11-27,2017-05-22,472
IT10CFQH,"Rosalina Dieter","GTX Basic",Konex,Won,2016-11-27,2017-03-26,538
8VKD2CCH,"Rosie Papadopoulos",GTXPro,"Massive Dynamic",Won,2016-11-27,2017-03-21,4829
2XQAKBXH,"Zane Levy","GTX Plus Pro",Doncon,Won,2016-11-27,2017-03-11,5370
7G7YLGJO,"Zane Levy","GTX Plus Pro",Hatfan,Won,2016-11-27,2017-03-21,6499
GCA97W27,"Darcel Schlecht","GTX Plus Basic","Genco Pura Olive Oil Company",Won,2016-11-28,2017-03-06,1161
K8FUZHOG,"Kary Hendrixson","GTX Basic",Scotfind,Won,2016-11-28,2017-03-26,576
5WJZMULK,"Maureen Marcano","GTX Plus Basic",Hatfan,Won,2016-11-28,2017-03-19,979
ZPYD4T9W,"Versie Hillebrand","MG Special",Stanredtax,Won,2016-11-28,2017-03-07,43
KE9ZEDS8,"Gladys Colclough","MG Special",Scottech,Won,2016-11-29,2017-03-07,57
7KK0HQ4C,"Lajuana Vencill","MG Special",Ron-tech,Lost,2016-11-29,2017-03-28,0
FP7014Z0,"Lajuana Vencill","GTX Plus Basic",Funholding,Won,2016-11-29,2017-03-12,948
N4HFHDMW,"Wilburn Farren","MG Advanced",Plussunin,Won,2016-11-29,2017-03-10,3012
2HFLKREC,"Cassey Cress","MG Advanced",Zotware,Won,2016-11-30,2017-03-15,3665
7JVTTVCO,"Violet Mclelland","GTX Basic","Gekko & Co",Won,2016-11-30,2017-03-24,564
3X13866U,"Anna Snelling","GTX Plus Basic",dambase,Lost,2016-12-01,2017-03-06,0
7LE19SYE,"Cassey Cress","MG Advanced",Initech,Won,2016-12-01,2017-03-22,3463
J5V2M7Y1,"Corliss Cosme","GTX Basic","Gekko & Co",Won,2016-12-01,2017-03-26,513
41MURAI5,"Corliss Cosme","GTX Basic",Konex,Won,2016-12-01,2017-03-28,590
QHI8WRIA,"Darcel Schlecht",GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511
AJXAXV4W,"Lajuana Vencill","MG Advanced",Finhigh,Lost,2016-12-01,2017-03-02,0
VPDXX5PJ,"Niesha Huffines","GTX Basic",Cancity,Won,2016-12-01,2017-03-26,546
PZB9NUK8,"Vicki Laflamme","MG Special",Y-corporation,Won,2016-12-01,2017-03-05,46
A0ANOYPF,"Darcel Schlecht",GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891
0P4AAPYX,"Hayden Neloms","GTX Plus Basic",Golddex,Won,2016-12-02,2017-03-03,1040
O6T5WC3W,"Hayden Neloms","GTX Plus Basic",Sonron,Won,2016-12-02,2017-03-04,1108
0NO04P6C,"Hayden Neloms","MG Special",Nam-zim,Won,2016-12-02,2017-03-04,59
22OFSXBT,"Jonathan Berthelot",GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406
MRXZTMM6,"Kary Hendrixson","GTX Basic",Cheers,Won,2016-12-02,2017-03-20,515
LGI8QEC2,"Moses Frase","GTX Basic",Treequote,Won,2016-12-02,2017-03-06,583
6KZ0NCFX,"Versie Hillebrand","MG Special",Funholding,Won,2016-12-02,2017-03-14,54
3SF8O9S6,"Vicki Laflamme","MG Special",Plusstrip,Won,2016-12-02,2017-03-27,60
CNM0H9FR,"Zane Levy","GTX Basic",Hottechi,Engaging,2016-12-02,2017-05-22,472
XK668R7C,"Darcel Schlecht","GTX Basic",Dontechi,Lost,2016-12-03,2017-03-12,0
TZCAQWL3,"Darcel Schlecht",GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0
BADC6A9H,"Darcel Schlecht","GTX Basic","Globex Corporation",Won,2016-12-03,2017-03-23,516
B8E0UUZR,"Darcel Schlecht",GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829
I043RXJV,"Moses Frase","GTX Plus Basic",Dontechi,Lost,2016-12-03,2017-03-17,0
MWWB44CC,"Reed Clapper","GTX Plus Basic",Donquadtech,Won,2016-12-03,2017-03-02,950
HBTINPDG,"Vicki Laflamme","GTX Plus Basic",Xx-holding,Lost,2016-12-03,2017-03-09,0
DZ3KHZSX,"Corliss Cosme","GTX Basic",Initech,Won,2016-12-04,2017-03-20,513
3W1K7X5F,"Darcel Schlecht",GTXPro,Condax,Lost,2016-12-04,2017-03-09,0
45A57X68,"Darcel Schlecht","GTX Plus Pro",Ron-tech,Won,2016-12-04,2017-03-12,5522
9SLYC4TR,"Gladys Colclough","MG Special",Cancity,Won,2016-12-04,2017-03-09,56
JLWKWQYC,"James Ascencio",GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673
7QC6FOKW,"Kami Bicknell","GTX Basic",Xx-holding,Won,2016-12-04,2017-03-10,598
XA184CMW,"Marty Freudenburg","GTX Plus Pro",Rangreen,Won,2016-12-04,2017-03-16,5787
S0N7BYU3,"Maureen Marcano","GTX Plus Basic",Singletechno,Won,2016-12-04,2017-03-08,1070
6WOMHAJM,"Boris Faz","MG Advanced",Donquadtech,Won,2016-12-05,2017-03-14,3677
G1QGATKV,"Cassey Cress","GTX Plus Pro",Ontomedia,Won,2016-12-05,2017-03-30,5425
UAE5ZC7O,"Daniell Hammack","GTX Plus Pro",Hottechi,Engaging,2016-12-05,2017-05-22,472
6XFVQI32,"Donn Cantrell","MG Advanced",Yearin,Won,2016-12-05,2017-03-23,3415
JUCNIG4H,"James Ascencio","GTX Basic",Hottechi,Engaging,2016-12-05,2017-05-22,472
OGD4MDJ9,"Maureen Marcano","GTX Plus Basic",Lexiqvolax,Won,2016-12-05,2017-03-21,891
4NGBUZWJ,"Lajuana Vencill","GTX Basic",Codehow,Won,2016-12-06,2017-03-12,609
EFG5DGV5,"Markita Hansen","MG Special",Plusstrip,Won,2016-12-06,2017-03-16,54
82MM4H33,"Zane Levy","GTX Plus Basic",Labdrill,Won,2016-12-06,2017-03-09,1049
14PM641K,"Cassey Cress","GTX Plus Basic","Gekko & Co",Won,2016-12-07,2017-03-07,1152
DSBGHOPN,"Daniell Hammack","MG Special",Plussunin,Lost,2016-12-07,2017-03-20,0
1YSOZLHF,"Daniell Hammack",GTXPro,"Umbrella Corporation",Won,2016-12-07,2017-03-28,4799
E8RP9FRW,"Gladys Colclough","MG Special",dambase,Won,2016-12-07,2017-03-12,51
787IRG9Q,"Hayden Neloms","MG Advanced",J-Texon,Won,2016-12-07,2017-03-03,3426
0TUS4NAC,"Jonathan Berthelot","MG Special",Rangreen,Won,2016-12-07,2017-03-11,51
FAJTQMUM,"Kami Bicknell","GTX Basic",Finjob,Won,2016-12-07,2017-03-20,564
TWF0J0DF,"Cecily Lampkin","GTX Plus Pro",Isdom,Won,2016-12-08,2017-03-01,5882
ICMXZOVL,"Daniell Hammack",GTXPro,Stanredtax,Engaging,2016-12-08,2017-05-22,472
UQ14O415,"Donn Cantrell",GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059
IBEUTCSW,"James Ascencio","MG Advanced",Hottechi,Engaging,2016-12-08,2017-05-22,472
O3KC8QI8,"Kami Bicknell","GTX Plus Basic",Hottechi,Engaging,2016-12-08,2017-05-22,472
BOJSLNDG,"Kami Bicknell","MG Advanced",Singletechno,Won,2016-12-08,2017-03-11,3388
WALNFJ70,"Kary Hendrixson","GTX Plus Pro",Hottechi,Engaging,2016-12-08,2017-05-22,472
DASMR0EK,"Markita Hansen","GTX Plus Pro",Zoomit,Won,2016-12-08,2017-03-10,5410
A76M0OOH,"Reed Clapper","GTX Plus Basic",Zathunicon,Won,2016-12-08,2017-03-28,978
E1VKE2PH,"Vicki Laflamme","MG Special",Scotfind,Won,2016-12-08,2017-03-26,54
SKY95DVG,"Anna Snelling","MG Special",Betatech,Lost,2016-12-09,2017-03-22,0
V5OK4V5I,"Cassey Cress","GTX Basic","Bubba Gump",Won,2016-12-09,2017-03-14,549
GJ4L5HHN,"Corliss Cosme","GTX Plus Basic",Mathtouch,Won,2016-12-09,2017-03-14,1034
9R8JWY3J,"Donn Cantrell",GTXPro,"Vehement Capital Partners",Won,2016-12-09,2017-03-03,4998
0EOFVU05,"Donn Cantrell","MG Advanced",Ontomedia,Won,2016-12-09,2017-03-28,3421
HNHOPL7M,"Kary Hendrixson","GTX Plus Pro",Doncon,Won,2016-12-09,2017-03-04,5425
Y0NYI17R,"Vicki Laflamme","MG Special",Dalttechnology,Won,2016-12-09,2017-03-15,55
R4F4RGAL,"Violet Mclelland","MG Advanced",Silis,Won,2016-12-09,2017-03-14,3558
MNVMY83P,"Cassey Cress",GTXPro,Plussunin,Engaging,2016-12-10,2017-05-22,472
0ZHLQFGU,"Kami Bicknell",GTXPro,Blackzim,Won,2016-12-10,2017-03-22,4839
40DPY158,"Markita Hansen","MG Special",Hottechi,Won,2016-12-10,2017-03-25,47
DP9E525R,"Maureen Marcano","GTX Plus Basic",Fasehatice,Won,2016-12-10,2017-03-24,1007
DBDUMQQK,"Niesha Huffines","MG Special",Inity,Won,2016-12-10,2017-03-24,48
CNBN12RL,"Versie Hillebrand","MG Special",Treequote,Won,2016-12-10,2017-03-07,49
OXL0YWEE,"Violet Mclelland","GTX Basic",Mathtouch,Won,2016-12-10,2017-03-18,504
ZOBJHMAF,"Cassey Cress","MG Advanced",Hottechi,Engaging,2016-12-11,2017-05-22,472
KD6MB4AP,"Elease Gluck","MG Special",Hottechi,Engaging,2016-12-11,2017-05-22,472
5CSSZJF4,"Jonathan Berthelot","GTX Basic",Finhigh,Won,2016-12-11,2017-03-21,543
0XG8TOJF,"Kary Hendrixson","GTX Plus Pro",Fasehatice,Lost,2016-12-11,2017-03-18,0
IIS0O91J,"Kary Hendrixson",GTXPro,Fasehatice,Won,2016-12-11,2017-03-28,5149
2LP5SUR5,"Lajuana Vencill","GTX Basic",Treequote,Lost,2016-12-11,2017-03-09,0
PYZZ3IS6,"Markita Hansen","GTX Plus Basic",Blackzim,Won,2016-12-11,2017-03-11,1043
5I4K5TQE,"Cassey Cress","GTX Plus Pro",Sumace,Lost,2016-12-12,2017-03-09,0
RV3LPOYP,"James Ascencio","GTX Basic",Condax,Won,2016-12-12,2017-03-29,437
A194RP0I,"Rosalina Dieter","MG Advanced",Hottechi,Engaging,2016-12-12,2017-05-22,472
1HVNTEPV,"Rosie Papadopoulos",GTXPro,Kinnamplus,Won,2016-12-12,2017-03-11,4465
LC85AQ1I,"Vicki Laflamme","GTX Basic",Konex,Won,2016-12-12,2017-03-18,443
TBV972NP,"Violet Mclelland","MG Special",Sumace,Lost,2016-12-12,2017-03-23,0
EJMX0EIJ,"Darcel Schlecht","GTX Plus Pro",Betatech,Won,2016-12-13,2017-03-20,4278
VR9NYBOV,"Garret Kinder","MG Special",Kinnamplus,Won,2016-12-13,2017-03-06,41
3U25FK08,"Jonathan Berthelot","GTX Basic",Isdom,Won,2016-12-13,2017-03-28,519
KV2OFRJT,"Kami Bicknell",GTXPro,Hottechi,Engaging,2016-12-13,2017-05-22,472
CRLK4Z1P,"Maureen Marcano","GTX Basic",Kan-code,Won,2016-12-13,2017-03-04,524
OGENAT0L,"Zane Levy","GTX Basic",Singletechno,Won,2016-12-13,2017-03-27,552
F57JWIDF,"Gladys Colclough","GTX Plus Basic",Konmatfix,Won,2016-12-14,2017-03-02,970
ERFRHR3Z,"Hayden Neloms","MG Advanced",Hottechi,Engaging,2016-12-14,2017-05-22,472
J53D8EOL,"Kary Hendrixson","GTX Plus Basic",Hottechi,Engaging,2016-12-14,2017-05-22,472
LF8JZ3Q5,"Kary Hendrixson","GTX Plus Basic",Hatfan,Won,2016-12-14,2017-03-13,1046
MRGBSMQ5,"Kary Hendrixson","GTX Plus Basic",Sunnamplex,Won,2016-12-14,2017-03-14,988
CBAV8ZJL,"Lajuana Vencill","GTX Basic",Codehow,Won,2016-12-14,2017-03-22,547
J32XDDAW,"Markita Hansen","GTX Basic",Hottechi,Engaging,2016-12-14,2017-05-22,472
NN4DWBVN,"Maureen Marcano",GTXPro,Singletechno,Lost,2016-12-14,2017-03-04,0
6JXHEZYK,"Versie Hillebrand","MG Special",Isdom,Won,2016-12-14,2017-03-31,54
WDHNR2EI,"Violet Mclelland","MG Special",Silis,Won,2016-12-14,2017-03-20,57
4K750D6F,"Violet Mclelland","MG Special",Yearin,Won,2016-12-14,2017-03-18,55
94GI0ZJ7,"Anna Snelling","GTX Plus Pro",Stanredtax,Won,2016-12-15,2017-03-15,5765
TODG6DEK,"Daniell Hammack","GTX Basic",Bioplex,Won,2016-12-15,2017-03-16,639
G0ECB8FS,"Kary Hendrixson",GTXPro,Labdrill,Won,2016-12-15,2017-03-15,5100
1ZDDZD8B,"Markita Hansen","MG Special",Hottechi,Engaging,2016-12-15,2017-05-22,472
96MZYUY0,"Vicki Laflamme",GTXPro,Fasehatice,Won,2016-12-15,2017-03-07,4906
EZVKSQ9C,"Boris Faz","GTX Plus Pro","Genco Pura Olive Oil Company",Engaging,2016-12-16,2017-05-22,472
RJYG004O,"Daniell Hammack","GTX Basic",Domzoom,Engaging,2016-12-16,2017-05-22,472
JZOKHHWN,"Donn Cantrell","GTX Plus Basic",Opentech,Won,2016-12-16,2017-03-07,1037
EH6I67I0,"James Ascencio","GTX Basic",Plexzap,Won,2016-12-16,2017-03-15,537
JUUXF02Z,"Kary Hendrixson",GTXPro,Hatfan,Won,2016-12-16,2017-03-09,4694
OT87JDWO,"Lajuana Vencill","GTX Basic",Konmatfix,Won,2016-12-16,2017-03-24,560
YHKT6YJ7,"Moses Frase","GTX Basic",dambase,Won,2016-12-16,2017-03-13,589
H78I3TAY,"Reed Clapper","GTX Basic",Mathtouch,Won,2016-12-16,2017-03-14,493
1ROC43JK,"Versie Hillebrand","MG Special",Betatech,Won,2016-12-16,2017-03-08,50
LPZLQL48,"Vicki Laflamme","GTX Basic",Y-corporation,Won,2016-12-16,2017-03-28,492
PYOFK7ZD,"Cassey Cress","GTX Basic",Hottechi,Engaging,2016-12-17,2017-05-22,472
DWUXMAGZ,"Corliss Cosme","GTX Plus Pro",Hottechi,Engaging,2016-12-17,2017-05-22,472
3KR50X38,"Corliss Cosme","GTX Plus Basic",Konex,Won,2016-12-17,2017-03-13,1255
Q3WLHRE9,"Darcel Schlecht","GTX Basic",Statholdings,Won,2016-12-17,2017-03-04,463
IX7UEOAP,"Donn Cantrell","GTX Plus Basic",Initech,Lost,2016-12-17,2017-03-27,0
NQU62K1H,"Donn Cantrell","GTX Basic",Zencorporation,Won,2016-12-17,2017-03-12,605
NAQKOU0T,"Hayden Neloms","GTX Plus Basic",Fasehatice,Won,2016-12-17,2017-03-20,1315
I3V3GUAI,"Lajuana Vencill","GTX Basic",Zumgoity,Won,2016-12-17,2017-03-02,559
PN4VJDXY,"Moses Frase","GTX Basic",Rundofase,Won,2016-12-17,2017-03-28,557
K9D4DQ3R,"Rosie Papadopoulos","MG Special","Vehement Capital Partners",Won,2016-12-17,2017-03-02,48
9X6V79KE,"Versie Hillebrand","GTX Plus Pro",Isdom,Won,2016-12-17,2017-03-25,6282
6SN2RQJX,"Vicki Laflamme","MG Special",Hottechi,Engaging,2016-12-17,2017-05-22,472
W1KLFNE4,"Anna Snelling","MG Advanced",Isdom,Won,2016-12-18,2017-03-02,3246
NKPH3EFG,"Cassey Cress","MG Advanced",Hottechi,Engaging,2016-12-18,2017-05-22,472
GD2OCW12,"Darcel Schlecht","GTX Basic",Finhigh,Won,2016-12-18,2017-03-14,514
6XO4RYXK,"Donn Cantrell","GTX Plus Basic",Silis,Won,2016-12-18,2017-03-15,1132
18Y7GRPW,"Garret Kinder","GTX Plus Pro",Silis,Won,2016-12-18,2017-03-21,5918
127ZPLXQ,"Kary Hendrixson",GTXPro,Hottechi,Lost,2016-12-18,2017-03-18,0
U07C2HEG,"Maureen Marcano","MG Special",Kan-code,Lost,2016-12-18,2017-03-14,0
RNTOJ78L,"Rosalina Dieter","MG Special",Hatfan,Lost,2016-12-18,2017-03-13,0
N07K7DR7,"Rosie Papadopoulos","MG Special",Plexzap,Engaging,2016-12-18,2017-05-22,472
NLB4D5BQ,"Versie Hillebrand","MG Advanced",Gogozoom,Won,2016-12-18,2017-03-24,2955
FCFDJIEZ,"Vicki Laflamme",GTXPro,Fasehatice,Won,2016-12-18,2017-03-21,3742
YZGDW4G1,"Violet Mclelland","MG Special",Initech,Won,2016-12-18,2017-03-14,64
G8AO5FA2,"Wilburn Farren","MG Advanced",Initech,Lost,2016-12-18,2017-03-27,0
125VIRMX,"Elease Gluck","GTK 500",Warephase,Engaging,2016-12-19,2017-05-22,472
